"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BB-017","Báº£ng rá»• mini Spalding Slam Jam Over-The-Door Mini Hoop","","","","pending",""
"BB-018","BĂ³ng rá»• Wilson NBA Authentic Indoor/Outdoor","","","","pending",""
"BB-019","á»ng tay bĂ³ng rá»• McDavid Hex Shooter Arm Sleeve","","","","pending",""
"BB-020","Táº¥t bĂ³ng rá»• Nike Elite Crew","","","","pending",""
"BB-021","Ăo bĂ³ng rá»• Jordan Sport Dri-FIT Sleeveless Top","","","","pending",""
"BB-022","Balo bĂ³ng rá»• Nike Hoops Elite Backpack","","","","pending",""
"BM-002","Vá»£t cáº§u lĂ´ng Yonex Astrox 88 Play","","","","pending",""
"BM-003","Vá»£t cáº§u lĂ´ng Yonex Arcsaber 11 Play","","","","pending",""
"BM-004","Vá»£t cáº§u lĂ´ng Yonex Nanoflare 1000 Play","","","","pending",""
"BM-005","Vá»£t cáº§u lĂ´ng Yonex Nanoflare 1000 Game","","","","pending",""
