"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"TT-011","Vá»£t bĂ³ng bĂ n DHS 4002","","","","pending",""
"TT-012","Vá»£t bĂ³ng bĂ n DHS 3002","","","","pending",""
"TT-013","Vá»£t bĂ³ng bĂ n 729 Focus 1","","","","pending",""
"TT-014","Vá»£t bĂ³ng bĂ n STIGA Pro Carbon+","","","","pending",""
"TT-015","Vá»£t bĂ³ng bĂ n Donic Waldner 700","","","","pending",""
"TT-016","Vá»£t bĂ³ng bĂ n JOOLA Rosskopf Classic","","","","pending",""
"TT-017","Máº·t vá»£t bĂ³ng bĂ n Butterfly Tenergy 05","","","","pending",""
"TT-018","Máº·t vá»£t bĂ³ng bĂ n Butterfly Rozena","","","","pending",""
"TT-019","Máº·t vá»£t bĂ³ng bĂ n DHS Hurricane 3 Neo","","","","pending",""
"TT-020","Máº·t vá»£t bĂ³ng bĂ n Donic Bluefire M1","","","","pending",""
