"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BM-006","Vá»£t cáº§u lĂ´ng Li-Ning Windstorm 72","","","","pending",""
"BM-007","Vá»£t cáº§u lĂ´ng Li-Ning Halbertec 2000","","","","pending",""
"BM-008","Vá»£t cáº§u lĂ´ng Victor Thruster K 12 M","","","","pending",""
"BM-009","Vá»£t cáº§u lĂ´ng Victor Auraspeed 90K II","","","","pending",""
"BM-010","Cáº§u lĂ´ng lĂ´ng vÅ© Yonex Aerosensa 30","","","","pending",""
"BM-011","Cáº§u lĂ´ng nhá»±a Yonex Mavis 350","","","","pending",""
"BM-012","Cáº§u lĂ´ng lĂ´ng vÅ© Victor Master Ace","","","","pending",""
"BM-013","Cáº§u lĂ´ng lĂ´ng vÅ© Li-Ning No.1","","","","pending",""
"BM-014","GiĂ y cáº§u lĂ´ng Yonex Power Cushion 65 Z3","","","","pending",""
"BM-015","GiĂ y cáº§u lĂ´ng Yonex Aerus Z2","","","","pending",""
