"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"FB-001","GiĂ y bĂ³ng Ä‘Ă¡ cá» nhĂ¢n táº¡o Nike","","","","pending",""
"FB-003","Ăo Ä‘áº¥u CLB Manchester City 2024","","","","pending",""
"BB-002","BĂ³ng rá»• Spalding NBA","","","","pending",""
"BM-001","Vá»£t cáº§u lĂ´ng Yonex Astrox","","","","pending",""
"VB-001","BĂ³ng chuyá»n hÆ¡i Äá»™ng Lá»±c","","","","pending",""
"TT-001","Vá»£t bĂ³ng bĂ n 7 lá»›p gá»—","","","","pending",""
"FB-007","GiĂ y bĂ³ng Ä‘Ă¡ Nike Tiempo Legend 10 Academy TF","","","","pending",""
"FB-008","GiĂ y bĂ³ng Ä‘Ă¡ Nike Mercurial Vapor 16 Academy TF","","","","pending",""
"FB-009","GiĂ y bĂ³ng Ä‘Ă¡ Nike Phantom GX 2 Academy TF","","","","pending",""
"FB-010","GiĂ y bĂ³ng Ä‘Ă¡ adidas Predator League Turf","","","","pending",""
