"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"FB-011","GiĂ y bĂ³ng Ä‘Ă¡ adidas F50 League Turf","","","","pending",""
"FB-012","GiĂ y bĂ³ng Ä‘Ă¡ adidas Copa Pure 3 League Turf","","","","pending",""
"FB-013","GiĂ y bĂ³ng Ä‘Ă¡ Puma Future 7 Play TT","","","","pending",""
"FB-014","GiĂ y bĂ³ng Ä‘Ă¡ Puma Ultra 5 Play TT","","","","pending",""
"FB-015","GiĂ y bĂ³ng Ä‘Ă¡ Mizuno Monarcida Neo III Select AS","","","","pending",""
"FB-016","BĂ³ng Ä‘Ă¡ Select Numero 10","","","","pending",""
"FB-017","Ăo táº­p bĂ³ng Ä‘Ă¡ Nike Dri-FIT Academy 23","","","","pending",""
"FB-018","Ăo táº­p bĂ³ng Ä‘Ă¡ adidas Tiro 24 Training Jersey","","","","pending",""
"FB-019","Ăo bĂ³ng Ä‘Ă¡ Puma teamLIGA Jersey","","","","pending",""
"FB-020","Ăo khoĂ¡c bĂ³ng Ä‘Ă¡ Nike Dri-FIT Academy 23 Drill Top","","","","pending",""
