"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"TT-021","Máº·t vá»£t bĂ³ng bĂ n Xiom Vega X","","","","pending",""
"TT-022","BĂ³ng bĂ³ng bĂ n Nittaku Premium 40+ 3-Star","","","","pending",""
"TT-023","BĂ³ng bĂ³ng bĂ n DHS DJ40+ WTT","","","","pending",""
"TT-024","BĂ³ng bĂ³ng bĂ n Butterfly R40+ 3-Star","","","","pending",""
"TT-025","Bá»™ lÆ°á»›i bĂ³ng bĂ n JOOLA Essentials Table Tennis Net Set","","","","pending",""
"TT-026","Keo dĂ¡n máº·t vá»£t Butterfly Free Chack II","","","","pending",""
"VB-002","BĂ³ng chuyá»n Mikasa V200W","","","","pending",""
"VB-003","BĂ³ng chuyá»n Mikasa V330W","","","","pending",""
"VB-004","BĂ³ng chuyá»n Molten V5M5000 FLISTATEC","","","","pending",""
"VB-005","BĂ³ng chuyá»n Molten V5M4000","","","","pending",""
